
SST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-4-23,,,,9,9,9,,,,,,,,,,,,,0.00,,,-1<br />
2006-5-4,,,,9,9,9,,,,,,,,,,,,,0.00,,,-1<br />
2006-5-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-5-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-6-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-6-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-6-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-6-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-6-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-6-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-7-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-7-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-8-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-8-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-8-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-9-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2006-9-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
