
SST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-6-1,25,24,24,23,23,22,94,91,89,,,,10,10,10,19,18,,0.00,4,,140<br />
2007-9-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-9-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-9-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-9-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-9-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-11-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-12-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-12-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-12-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-12-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-12-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-12-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-12-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2007-12-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
